pH,k_leak,ngam_base,ngam_extra,ngam_total,pH_cytosol,pump_cost_kJ_per_mol,mu
5.25,0.2,0.7,0.0011046826503806984,0.7011046826503806,7.0,27.759650659774998,0.025520455411321946
5.5,0.2,0.7,0.0006124555320336759,0.7006124555320337,7.0,26.275029136949996,0.025524258882996063
5.75,0.2,0.7,0.00033565588200778465,0.7003356558820077,7.0,24.790407614124998,0.025526397732296816
6.0,0.2,0.7,0.00017999999999999998,0.7001799999999999,7.0,23.305786091299996,0.025527600495647507
6.25,0.2,0.7,9.246826503806982e-05,0.700092468265038,7.0,21.821164568474998,0.02552827685918431
6.5,0.2,0.7,4.324555320336759e-05,0.7000432455532033,7.0,20.33654304565,0.0255286572063527
6.75,0.2,0.7,1.5565588200778456e-05,0.7000155655882008,7.0,18.851921522825,0.025528871091282337
7.0,0.2,0.7,0.0,0.7,7.0,17.3673,0.025528991367617007
7.25,0.2,0.7,-8.75317349619302e-06,0.6999912468265037,7.0,15.882678477174998,0.025529059003969817
7.5,0.2,0.7,-1.3675444679663242e-05,0.6999863245553203,7.0,14.398056954349999,0.025529097038687262
1.5,0.3,0.7,9.486802641579871,10.18680264157987,6.995121062556256,50.0,0.0
1.75,0.3,0.7,5.334808230116768,6.034808230116768,7.0,48.54435197932499,0.0
2.0,0.3,0.7,2.9999700000000002,3.6999700000000004,7.0,47.05973045649999,0.0
2.25,0.3,0.7,1.6869939755710472,2.3869939755710474,7.0,45.575108933675004,0.012080752505248689
2.5,0.3,0.7,0.9486532980505138,1.6486532980505137,7.0,44.090487410849995,0.01819868492821956
2.75,0.3,0.7,0.5334538230116768,1.2334538230116767,7.0,42.605865888025,0.021406958205391274
3.0,0.3,0.7,0.29997,0.99997,7.0,41.12124436519999,0.02321110323122262
3.25,0.3,0.7,0.16867239755710475,0.8686723975571047,7.0,39.636622842375,0.024225648535884204
3.5,0.3,0.7,0.09483832980505139,0.7948383298050513,7.0,38.152001319549996,0.024796169286973486
3.75,0.3,0.7,0.05331838230116768,0.7533183823011677,7.0,36.667379796725,0.025116996682189283
