observed,predicted,sd
0.1485601738704636,0.1477868237102733,0.0047151427132152346
0.2746871556068488,0.26661282905630485,0.00750535934749135
0.28406832956781,0.2850282278291449,0.005593276525777162
0.2368675610462868,0.2402755973609593,0.003178370196420958
0.3321585116937198,0.33440862425108736,0.0027052610063000243
0.0237692466173732,0.023110354429071264,0.011286676299171228
0.0746158030811392,0.07700407601377404,0.002851397735253493
0.2574596662147135,0.25910230417174984,0.0019309346949303466
0.0300932467836207,0.037228650927415695,0.007841375471463527
0.1730556778383293,0.17910486375499968,0.0037073645924003027
0.0487776841643273,0.05674167315326245,0.0034110999108459615
0.2631503722906524,0.26148151159434513,0.004310824908133097
0.2264692043673393,0.2276823883506774,0.002338670794546463
0.2439482909790657,0.2355409580499596,0.004009580067536493
0.2803615351723551,0.2781811919271401,0.004794162284526066
0.0582987225105047,0.05302451735983793,0.01079592177570002
0.273293597601078,0.23266281787960344,0.03504518214446541
0.1038471201212196,0.10085104271094107,0.0020335161782132545
0.1475815782986587,0.14527433419181604,0.0033179271598774945
0.2496291654383337,0.25099059740650775,0.0042945055721746814
0.1185431271475428,0.24593934790180522,0.03883965197515833
0.0838966501559659,0.08160915370525385,0.005483892939043874
0.0485852256089432,0.04939446837953383,0.004104294934128734
0.0902501968928715,0.09289563689416211,0.005568161289329357
0.3053034559731667,0.30553977198944954,0.002218684315350401
0.2391058095086862,0.23798607051769333,0.004979610216033917
0.2913769032648594,0.2912123524530824,0.00416889478116339
0.3230181929939603,0.3203834132810128,0.007898646503633625
0.2351051785192075,0.23030009334254126,0.004737006021442539
0.0347314800271576,0.03809817832497483,0.006240646475284138
0.0852444695283633,0.08306216622937224,0.00833399029586846
0.0653530961225687,0.0652853899115716,0.00672927003884518
0.2294652472224179,0.23326249340042166,0.010299404203263017
0.233524371397559,0.23211765436241677,0.0031923704782651167
0.4444221024041553,0.4410575151093349,0.0037165174772455763
0.2513292611913602,0.25101365139594656,0.0042375204839618505
0.143302921106088,0.14500068045264214,0.007941184627869613
0.2859525600012683,0.287126773188431,0.004365011888236815
0.1976752898593484,0.19851622414818143,0.003411273605944096
0.1676724686638728,0.17079731177106877,0.011488903154149868
0.0970776515420039,0.09605164628083829,0.0031800382282845176
0.2472699608093037,0.24248892873094832,0.0037291474226093108
0.1335575373481537,0.2358409824022611,0.031861192941905266
0.4014554031543553,0.3971893882127951,0.006183330396664497
0.1733455147978181,0.1729978995395839,0.0033383655032444615
0.0827473416566153,0.08536728990773365,0.0024990828711444757
0.1212307250598258,0.11922592649069755,0.002728322571344102
0.0691282030075468,0.06353976873378155,0.009264551747662662
0.3526116836211382,0.35201894822646684,0.004113847093943867
0.197655745217235,0.19155868193667075,0.0041921432213299055
0.1406594498779209,0.14621176891545234,0.004316581199417276
0.2355315699604107,0.23209913373998092,0.0024357919480705354
0.3484161298273999,0.35013783264240167,0.0064004966802805015
0.2024398400781115,0.2027761377217129,0.006376821762970102
0.0653639782564329,0.06866685130396184,0.0028206044287718973
0.3312070655097035,0.32662253087063775,0.006338860638904087
0.2431611721756283,0.24376875264336126,0.005015072101775472
0.1461581048525559,0.14811619658913802,0.0017962618565044112
0.2162398526100582,0.2161942248439726,0.003200183976221865
0.3292544647121021,0.33154175953721166,0.003958254446827332
