gene,growth,ratio,classification,model,wt_growth
YCR034W,0.08404225581836042,0.9999997834378579,neutral,CNCM_I745,0.084042
YCR036W,0.08404225581836032,0.9999997834378568,neutral,CNCM_I745,0.084042
YCR037C,0.08404225581836032,0.9999997834378568,neutral,CNCM_I745,0.084042
YCR048W,0.08404225581836032,0.9999997834378568,neutral,CNCM_I745,0.084042
YCR053W,0.0,0.0,essential,CNCM_I745,0.084042
YCR068W,0.08404223716580912,0.9999995614953711,neutral,CNCM_I745,0.084042
YCR075C,0.08404223716581023,0.9999995614953843,neutral,CNCM_I745,0.084042
YCR083W,0.08404223716581023,0.9999995614953843,neutral,CNCM_I745,0.084042
YCR098C,0.08404223716581023,0.9999995614953843,neutral,CNCM_I745,0.084042
YCR105W,0.08404223716581023,0.9999995614953843,neutral,CNCM_I745,0.084042
YCR107W,0.08404223716581023,0.9999995614953843,neutral,CNCM_I745,0.084042
YDL004W,0.03418060994118925,0.4067073427067129,growth_reduced,CNCM_I745,0.084042
YDL015C,0.08404223716580828,0.999999561495361,neutral,CNCM_I745,0.084042
YDL022W,0.08404223716580897,0.9999995614953693,neutral,CNCM_I745,0.084042
YDL024C,0.0840422286873798,0.9999994606124593,neutral,CNCM_I745,0.084042
YDL040C,0.08404223716580912,0.9999995614953711,neutral,CNCM_I745,0.084042
YDL042C,0.08404223716580897,0.9999995614953693,neutral,CNCM_I745,0.084042
YDL045C,7.538025200338786e-27,8.969325602325272e-26,essential,CNCM_I745,0.084042
YDL052C,0.08404223275085254,0.9999995089628018,neutral,CNCM_I745,0.084042
YDL055C,0.0,0.0,essential,CNCM_I745,0.084042
YDL066W,0.08377102767300881,0.996772501114546,neutral,CNCM_I745,0.084042
YDL067C,0.020734920417025827,0.24672012578340574,growth_reduced,CNCM_I745,0.084042
YDL078C,0.08404225581836011,0.9999997834378542,neutral,CNCM_I745,0.084042
YDL080C,0.08404225581836001,0.9999997834378531,neutral,CNCM_I745,0.084042
YDL085W,0.08404225581836001,0.9999997834378531,neutral,CNCM_I745,0.084042
YDL090C,0.08404225581836001,0.9999997834378531,neutral,CNCM_I745,0.084042
YDL093W,0.08404225581836001,0.9999997834378531,neutral,CNCM_I745,0.084042
YDL095W,0.08404225581836001,0.9999997834378531,neutral,CNCM_I745,0.084042
YDL100C,0.08404223790060593,0.999999570238552,neutral,CNCM_I745,0.084042
YDL103C,0.0,0.0,essential,CNCM_I745,0.084042
YDL120W,0.0840422558183605,0.9999997834378589,neutral,CNCM_I745,0.084042
YDL131W,0.08404225581836273,0.9999997834378855,neutral,CNCM_I745,0.084042
YDL141W,0.0,0.0,essential,CNCM_I745,0.084042
YDL142C,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YDL166C,0.08403716906593782,0.9999392573219004,neutral,CNCM_I745,0.084042
YDL168W,0.08404225581835933,0.999999783437845,neutral,CNCM_I745,0.084042
YDL171C,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL174C,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL178W,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL182W,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL185W,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL198C,0.08404225581835914,0.9999997834378427,neutral,CNCM_I745,0.084042
YDL205C,0.0,0.0,essential,CNCM_I745,0.084042
YDL210W,0.08404223716580835,0.9999995614953618,neutral,CNCM_I745,0.084042
YDL215C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL219W,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL236W,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL238C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL243C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL245C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL246C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDL247W,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDR001C,0.084042237165809,0.9999995614953696,neutral,CNCM_I745,0.084042
YDR007W,4.606612042300383e-15,5.481303422695873e-14,essential,CNCM_I745,0.084042
YDR009W,0.08404223716580878,0.999999561495367,neutral,CNCM_I745,0.084042
YDR017C,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR019C,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR020C,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR023W,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR035W,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR036C,0.08404223716580904,0.9999995614953701,neutral,CNCM_I745,0.084042
YDR037W,0.0,0.0,essential,CNCM_I745,0.084042
YDR038C,0.08404223275702515,0.9999995090362482,neutral,CNCM_I745,0.084042
YDR039C,0.08404223275702609,0.9999995090362594,neutral,CNCM_I745,0.084042
YDR040C,0.08404223275702609,0.9999995090362594,neutral,CNCM_I745,0.084042
YDR044W,0.0,0.0,essential,CNCM_I745,0.084042
YDR046C,0.0840422558183569,0.9999997834378161,neutral,CNCM_I745,0.084042
YDR047W,0.0,0.0,essential,CNCM_I745,0.084042
YDR050C,0.07238882697046063,0.8613382707174629,neutral,CNCM_I745,0.084042
YDR058C,0.08404225581836054,0.9999997834378594,neutral,CNCM_I745,0.084042
YDR062W,0.08404225581836071,0.9999997834378613,neutral,CNCM_I745,0.084042
YDR071C,0.08404225581836071,0.9999997834378613,neutral,CNCM_I745,0.084042
YDR072C,0.08404225581836071,0.9999997834378613,neutral,CNCM_I745,0.084042
YDR074W,0.0,0.0,essential,CNCM_I745,0.084042
YDR093W,0.08404225581836026,0.9999997834378561,neutral,CNCM_I745,0.084042
YDR098C,0.08404225581836124,0.9999997834378677,neutral,CNCM_I745,0.084042
YDR105C,0.08404225581836033,0.9999997834378569,neutral,CNCM_I745,0.084042
YDR109C,0.08404225581836033,0.9999997834378569,neutral,CNCM_I745,0.084042
YDR111C,0.08404223275702534,0.9999995090362506,neutral,CNCM_I745,0.084042
YDR127W,0.0,0.0,essential,CNCM_I745,0.084042
YDR135C,0.08404225581836076,0.999999783437862,neutral,CNCM_I745,0.084042
YDR147W,0.0840422558183605,0.9999997834378589,neutral,CNCM_I745,0.084042
YDR148C,0.08404225581836032,0.9999997834378568,neutral,CNCM_I745,0.084042
YDR158W,0.0,0.0,essential,CNCM_I745,0.084042
YDR173C,0.08404223275702545,0.9999995090362519,neutral,CNCM_I745,0.084042
YDR178W,0.08404223275702599,0.9999995090362583,neutral,CNCM_I745,0.084042
YDR191W,0.08404223275702599,0.9999995090362583,neutral,CNCM_I745,0.084042
YDR196C,6.743469505457811e-14,8.023901761575975e-13,essential,CNCM_I745,0.084042
YDR204W,0.0840422327570251,0.9999995090362477,neutral,CNCM_I745,0.084042
YDR208W,0.0840422327570247,0.9999995090362429,neutral,CNCM_I745,0.084042
YDR226W,0.0840422327570247,0.9999995090362429,neutral,CNCM_I745,0.084042
YDR231C,0.0840422327570247,0.9999995090362429,neutral,CNCM_I745,0.084042
YDR232W,0.0,0.0,essential,CNCM_I745,0.084042
YDR234W,0.0,0.0,essential,CNCM_I745,0.084042
YDR236C,0.08404225581836043,0.9999997834378581,neutral,CNCM_I745,0.084042
YDR242W,0.08404225581835997,0.9999997834378527,neutral,CNCM_I745,0.084042
