contrast,reaction,name,mean_diff,cohens_d,p,p_adj
ileum_vs_colon,r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),0.001401,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0236,C-3 sterol keto reductase (4-methylzymosterol),0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0237,C-3 sterol keto reductase (zymosterol),0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0238,C-4 methyl sterol oxidase,0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0239,C-4 methyl sterol oxidase,0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0240,C-4 methyl sterol oxidase,0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",0.001401,1.4509,1.4022261197549807e-10,4.957008902130816e-10
ileum_vs_colon,r_0242,C-5 sterol desaturase,0.001354,1.4908,6.174591683302293e-11,4.957008902130816e-10
ileum_vs_colon,r_0243,C-8 sterol isomerase,0.001354,1.4908,6.174591683302269e-11,4.957008902130816e-10
ileum_vs_colon,r_0244,C-s24 sterol reductase,0.001401,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0249,CAAX farnesyltransferase,0.0,0.0,,
ileum_vs_colon,r_0250,carbamoyl-phosphate synthase (glutamine-hydrolysing),0.011459,1.4509,1.4022261197549502e-10,4.957008902130816e-10
ileum_vs_colon,r_0252,carnitine O-acetyltransferase,0.0,0.0,,
ileum_vs_colon,r_0253,carnitine O-acetyltransferase,0.0,0.1857,0.3215369352642668,0.36383675149614836
ileum_vs_colon,r_0254,carnitine O-acetyltransferase,0.0,0.1857,0.321536935264267,0.36383675149614836
ileum_vs_colon,r_0255,catalase,0.0,0.0388,0.83533986461124,0.8573224926347403
ileum_vs_colon,r_0256,catalase,-0.0,-0.0038,0.9838914296674369,0.984720762429834
ileum_vs_colon,r_0259,ceramide-1 hydroxylase (24C),0.0,0.1857,0.32153693526426763,0.36383675149614836
ileum_vs_colon,r_0260,ceramide-1 hydroxylase (24C),0.0,0.1857,0.3215369352642671,0.36383675149614836
ileum_vs_colon,r_0261,ceramide-1 hydroxylase (26C),0.0,0.0,,
ileum_vs_colon,r_0262,ceramide-1 hydroxylase (26C),0.0,0.0,,
ileum_vs_colon,r_0263,ceramide-1 synthase (24C),0.0,0.0,,
ileum_vs_colon,r_0264,ceramide-1 synthase (26C),0.0,0.0,,
ileum_vs_colon,r_0265,ceramide-2 synthase (24C),0.0,0.0,,
ileum_vs_colon,r_0266,ceramide-2 synthase (26C),0.0,0.0,,
ileum_vs_colon,r_0267,ceramide-3 synthase (24C),0.0,0.0212,0.9095216267114273,0.9195836785626547
ileum_vs_colon,r_0268,ceramide-3 synthase (26C),-0.0,-0.1857,0.3215369352642671,0.36383675149614836
ileum_vs_colon,r_0269,ceramide-4 synthase (24C),0.0,0.0,,
ileum_vs_colon,r_0270,ceramide-4 synthase (26C),-0.0,-0.1857,0.3215369352642671,0.36383675149614836
ileum_vs_colon,r_0271,chitin deacetylase,0.0,0.0,,
ileum_vs_colon,r_0272,chitin synthase,0.000897,1.4509,1.4022261197549595e-10,4.957008902130816e-10
ileum_vs_colon,r_0273,choline kinase,0.0,0.0,,
ileum_vs_colon,r_0274,choline phosphate cytididyltransferase,0.0,0.0,,
