gene,growth,ratio,classification,model,wt_growth
YDL236W,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL238C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL243C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL245C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL246C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDL247W,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDR001C,0.08404223275702546,0.9999998668344972,neutral,Yeast9_base,0.084042
YDR007W,1.1858688610577008e-14,1.4110390267347407e-13,essential,Yeast9_base,0.084042
YDR009W,0.08404223275702451,0.9999998668344857,neutral,Yeast9_base,0.084042
YDR017C,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR019C,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR020C,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR023W,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR035W,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR036C,0.08404223275702685,0.9999998668345137,neutral,Yeast9_base,0.084042
YDR037W,0.0,0.0,essential,Yeast9_base,0.084042
YDR038C,0.08404223275702544,0.9999998668344968,neutral,Yeast9_base,0.084042
YDR039C,0.08404223275702544,0.9999998668344968,neutral,Yeast9_base,0.084042
YDR040C,0.08404223275702544,0.9999998668344968,neutral,Yeast9_base,0.084042
YDR044W,0.0,0.0,essential,Yeast9_base,0.084042
YDR046C,0.08404225581835996,1.0000001412361958,neutral,Yeast9_base,0.084042
YDR047W,0.0,0.0,essential,Yeast9_base,0.084042
YDR050C,0.07238882697046076,0.8613385789029374,neutral,Yeast9_base,0.084042
YDR058C,0.08404225581836021,1.0000001412361987,neutral,Yeast9_base,0.084042
YDR062W,0.08404225581835988,1.0000001412361947,neutral,Yeast9_base,0.084042
YDR071C,0.08404225581835988,1.0000001412361947,neutral,Yeast9_base,0.084042
