zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YBR084C-A,-1.9925,1.1507,4
duodenum,YBR084W,-2.8405,0.8586,4
duodenum,YBR085W,-0.6387,0.1,4
duodenum,YBR086C,-0.2851,0.1,4
duodenum,YBR087W,-0.5062,0.3086,4
duodenum,YBR088C,-1.688,0.5889,4
duodenum,YBR089C-A,0.716,0.1651,4
duodenum,YBR089W,-1.4412,0.7149,4
duodenum,YBR090C,0.7147,0.157,4
duodenum,YBR091C,-0.3167,0.1436,4
duodenum,YBR092C,-1.773,0.6217,4
duodenum,YBR093C,-1.8175,0.817,4
duodenum,YBR094W,-0.0097,0.1191,4
duodenum,YBR095C,-0.112,0.2144,4
duodenum,YBR096W,1.2443,0.2385,4
duodenum,YBR097W,-0.4293,0.5243,4
duodenum,YBR098W,-0.3391,0.2116,4
duodenum,YBR099C,0.1213,0.5092,4
duodenum,YBR100W,0.3142,0.166,4
duodenum,YBR101C,1.6775,0.633,4
duodenum,YBR102C,0.3613,0.1607,4
duodenum,YBR103W,0.2,0.2254,4
duodenum,YBR104W,-1.7595,0.4598,4
duodenum,YBR105C,1.7572,0.4639,4
duodenum,YBR106W,-1.0012,0.442,4
duodenum,YBR107C,-0.128,0.1465,4
duodenum,YBR108W,1.2352,0.426,4
duodenum,YBR109C,0.4552,0.1364,4
duodenum,YBR110W,0.153,0.301,4
duodenum,YBR111C,1.3575,0.2153,4
duodenum,YBR112C,0.4898,0.415,4
duodenum,YBR113W,-0.035,0.9807,4
duodenum,YBR114W,1.1527,0.4182,4
duodenum,YBR115C,-1.232,0.2761,4
duodenum,YBR116C,2.853,1.3266,4
duodenum,YBR117C,2.912,1.5782,4
duodenum,YBR118W,-0.0748,0.1,4
duodenum,YBR119W,0.0332,0.2383,4
duodenum,YBR120C,0.5133,0.4435,4
duodenum,YBR121C,-1.499,0.4557,4
duodenum,YBR122C,0.5992,0.4173,4
duodenum,YBR123C,-0.0586,0.1465,4
duodenum,YBR124W,-0.1648,0.2069,4
duodenum,YBR125C,0.0238,0.1921,4
duodenum,YBR126C,3.2835,0.4401,4
duodenum,YBR127C,0.1028,0.1,4
duodenum,YBR128C,0.1457,0.3317,4
duodenum,YBR129C,-0.0153,0.1808,4
duodenum,YBR130C,0.0299,0.1068,4
duodenum,YBR131W,-0.2625,0.1714,4
duodenum,YBR132C,2.798,0.343,4
duodenum,YBR133C,-0.3372,0.2071,4
duodenum,YBR134W,-0.4533,0.1,4
duodenum,YBR135W,-0.3868,0.2001,4
duodenum,YBR136W,-0.2269,0.2561,4
duodenum,YBR137W,1.38,0.704,4
duodenum,YBR138C,0.732,0.2009,4
duodenum,YBR139W,2.792,0.4714,4
duodenum,YBR140C,0.0701,0.2223,4
duodenum,YBR141C,-0.736,0.2807,4
duodenum,YBR142W,-2.3645,0.6269,4
duodenum,YBR143C,-1.606,0.9707,4
duodenum,YBR144C,-0.325,0.1,4
duodenum,YBR145W,0.7995,0.1602,4
duodenum,YBR146W,0.1785,0.1779,4
duodenum,YBR147W,1.313,0.2177,4
duodenum,YBR148W,-0.2387,0.2036,4
duodenum,YBR149W,2.3707,0.2071,4
duodenum,YBR150C,0.6465,0.3568,4
duodenum,YBR151W,0.9695,0.1747,4
duodenum,YBR152W,-0.067,0.2189,4
duodenum,YBR153W,-0.2017,0.133,4
duodenum,YBR154C,-1.1412,0.8781,4
duodenum,YBR155W,-1.7098,0.5327,4
duodenum,YBR156C,-0.6006,0.3774,4
duodenum,YBR157C,0.469,0.1,4
duodenum,YBR158W,-0.452,0.3473,4
duodenum,YBR159W,0.255,0.1,4
duodenum,YBR160W,0.5833,0.1732,4
duodenum,YBR161W,0.6972,0.3059,4
duodenum,YBR162C,-1.3393,0.5533,4
duodenum,YBR162W-A,-1.0075,0.4713,4
duodenum,YBR163W,-0.611,0.2974,4
duodenum,YBR164C,-0.4905,0.4965,4
duodenum,YBR165W,-0.042,0.2485,4
duodenum,YBR166C,-0.154,0.2477,4
duodenum,YBR167C,-0.1862,0.3404,4
duodenum,YBR168W,0.5518,0.1012,4
duodenum,YBR169C,3.953,1.07,4
duodenum,YBR170C,1.0083,0.2876,4
duodenum,YBR171W,-0.2255,0.3149,4
duodenum,YBR172C,-0.6773,0.3977,4
duodenum,YBR173C,0.5807,0.2564,4
duodenum,YBR174C,-0.19,0.1,4
duodenum,YBR175W,0.1693,0.1758,4
duodenum,YBR176W,0.3632,0.2255,4
duodenum,YBR177C,1.2876,0.3804,4
duodenum,YBR178W,1.0785,0.5819,4
duodenum,YBR179C,0.44,0.25,4
duodenum,YBR180W,-0.398,0.1497,4
duodenum,YBR181C,-2.4292,1.5079,4
duodenum,YBR182C,-0.0683,0.1418,4
duodenum,YBR183W,2.4283,0.4136,4
duodenum,YBR184W,-0.2725,0.1,4
duodenum,YBR185C,0.8445,0.2234,4
duodenum,YBR186W,-0.3275,0.3165,4
duodenum,YBR187W,-1.1333,0.3821,4
duodenum,YBR188C,-0.3678,0.2807,4
duodenum,YBR189W,-2.7607,1.8101,4
duodenum,YBR190W,-0.8262,0.6082,4
duodenum,YBR191W,-2.3035,1.5795,4
duodenum,YBR192W,-0.1542,0.3699,4
duodenum,YBR193C,0.635,0.1789,4
duodenum,YBR194W,0.1975,0.1906,4
duodenum,YBR195C,-0.0953,0.1,4
duodenum,YBR196C,0.6365,0.4101,4
duodenum,YBR197C,-0.5115,0.1319,4
duodenum,YBR198C,-0.064,0.171,4
duodenum,YBR199W,0.5671,0.1,4
duodenum,YBR200W,-0.0127,0.2431,4
duodenum,YBR201W,0.4755,0.2091,4
duodenum,YBR202W,-1.0215,0.3368,4
duodenum,YBR203W,0.9155,0.4193,4
duodenum,YBR204C,0.9367,0.2889,4
duodenum,YBR205W,-0.3212,0.1333,4
duodenum,YBR206W,-0.7935,0.1,4
duodenum,YBR207W,0.2215,0.1619,4
duodenum,YBR208C,-0.6483,1.111,4
duodenum,YBR209W,0.1393,0.371,4
duodenum,YBR210W,-0.1872,0.1863,4
duodenum,YBR211C,0.3718,0.1552,4
duodenum,YBR212W,1.3518,0.3468,4
duodenum,YBR213W,-0.3135,0.1174,4
duodenum,YBR214W,1.1578,0.7241,4
duodenum,YBR215W,-0.007,0.1987,4
duodenum,YBR216C,0.6613,0.3195,4
duodenum,YBR217W,-0.0267,0.2307,4
duodenum,YBR218C,0.2867,0.1788,4
duodenum,YBR219C,-0.568,0.2493,4
duodenum,YBR220C,-0.7437,0.1571,4
duodenum,YBR221C,0.0985,0.2454,4
duodenum,YBR222C,0.637,0.4838,4
duodenum,YBR223C,0.5945,0.1195,4
duodenum,YBR224W,-0.4834,0.3884,4
duodenum,YBR225W,0.7265,0.3197,4
duodenum,YBR226C,-0.889,1.2758,4
duodenum,YBR227C,-0.0421,0.1,4
duodenum,YBR228W,0.22,0.1991,4
duodenum,YBR229C,0.5935,0.2069,4
duodenum,YBR230C,3.165,0.5102,4
duodenum,YBR231C,0.4095,0.5892,4
duodenum,YBR232C,0.0433,0.1381,4
duodenum,YBR233W,0.2237,0.4648,4
duodenum,YBR234C,1.028,0.2521,4
duodenum,YBR235W,-0.243,0.4033,4
duodenum,YBR236C,0.3065,0.2291,4
duodenum,YBR237W,0.5973,0.9161,4
duodenum,YBR238C,-1.7313,0.6781,4
duodenum,YBR239C,-0.45,0.6363,4
duodenum,YBR240C,-0.128,0.1891,4
duodenum,YBR241C,2.3893,0.6201,4
duodenum,YBR242W,-1.0188,0.1747,4
duodenum,YBR243C,0.0695,0.1045,4
duodenum,YBR244W,-0.5708,1.216,4
duodenum,YBR245C,-0.2366,0.1356,4
duodenum,YBR246W,-0.2295,0.141,4
duodenum,YBR247C,-2.619,0.653,4
duodenum,YBR248C,-0.6442,0.327,4
duodenum,YBR249C,-1.9347,0.8838,4
duodenum,YBR250W,-0.069,0.1,4
duodenum,YBR251W,0.4168,0.1652,4
duodenum,YBR252W,-1.2073,0.405,4
duodenum,YBR253W,0.2343,0.1,4
duodenum,YBR254C,-0.5427,0.2487,4
duodenum,YBR255W,0.3027,0.2467,4
duodenum,YBR256C,0.756,0.1822,4
duodenum,YBR257W,-0.4713,0.2885,4
duodenum,YBR258C,-0.3575,0.2663,4
duodenum,YBR259W,-0.3145,0.2948,4
duodenum,YBR260C,0.179,0.1,4
duodenum,YBR261C,-0.4145,0.42,4
duodenum,YBR262C,0.0075,0.2411,4
duodenum,YBR263W,-1.1355,0.4596,4
duodenum,YBR264C,0.091,0.2631,4
duodenum,YBR265W,-0.7368,0.513,4
duodenum,YBR266C,-2.309,0.8301,4
duodenum,YBR267W,-2.3275,1.112,4
